QueryIteration,LatencyMS
519,2.9671
520,2.1718
521,5.1691
522,11.5647
523,7.9364
524,2.6531
525,3.7908
526,7.4423
527,6.5959
528,2.5249
529,9.3087
530,4.4853
531,6.2388
532,3.6925
533,11.8375
534,3.7226
535,9.8957
536,10.5689
537,10.2226
538,2.415
539,4.1857
540,2.7984
541,5.3921
542,4.7594
543,2.2079
544,6.5054
545,6.0096
546,5.7807
547,2.3367
548,12.5633
549,7.2322
550,8.4556
551,11.82
552,6.4658
553,2.9194
554,5.3025
555,4.3979
556,5.4811
557,7.5644
558,5.1179
559,5.6388
560,5.1271
561,2.5507
562,6.0151
563,1.8701
564,7.2249
565,5.8655
566,5.5382
567,10.2593
568,19.6529
569,7.2421
570,4.3714
571,4.0541
572,4.9675
573,6.4134
574,1.9898
575,2.0045
576,4.5733
577,1.7466
578,6.6016
579,6.6382
580,6.2141
581,8.7385
582,2.5483
583,7.2008
584,8.1068
585,7.5557
586,3.2201
587,5.2085
588,11.4684
589,4.3314
590,5.5299
591,6.9845
592,2.4828
593,6.744
594,4.4802
595,6.4596
596,5.3531
597,4.7704
598,4.3126
599,11.1883
600,7.2447
601,1.8912
602,6.7279
603,2.5156
604,5.322
605,2.6873
606,7.1166
607,12.1943
608,3.3166
609,2.422
610,5.4236
611,6.4574
612,4.7835
613,11.6118
614,6.9433
615,4.7291
616,10.5161
617,6.2952
618,5.1463
619,5.4773
620,10.0151
621,6.9207
622,5.551
623,4.607
624,10.8266
625,3.9549
626,11.6184
627,7.9574
628,3.4949
629,3.2689
630,1.7325
631,5.9886
632,2.7584
633,3.7929
634,4.3562
635,1.8778
636,3.2976
637,13.7525
638,2.8165
639,5.7748
640,3.9886
641,9.8227
642,3.7142
643,6.3275
644,2.9453
645,11.9821
646,2.2776
647,1.9984
648,2.8872
649,7.3532
650,5.2242
651,3.3709
652,11.6196
653,5.7165
654,6.3919
655,6.4976
656,4.7491
657,2.3483
658,2.8358
659,6.5822
660,4.6093
661,6.0766
662,11.3815
663,6.5451
664,2.4818
665,11.6024
666,7.0513
667,5.2054
668,5.8997
669,2.1483
670,4.9055
671,2.8878
672,3.0419
673,6.768
674,6.266
675,5.966
676,5.1456
677,4.0121
678,6.0086
679,5.6982
680,41.0886
681,11.8226
682,4.5284
683,4.7931
684,7.8285
685,5.4386
686,3.6226
687,4.4131
688,3.7346
689,4.6157
690,6.8987
691,5.8284
692,8.6977
693,12.0298
694,8.2798
695,6.6623
696,9.1524
697,8.232
698,12.908
699,11.3775
700,4.6325
701,12.5066
702,5.1987
703,2.687
704,4.5124
705,6.6594
706,9.4479
707,5.4074
708,3.2202
709,2.9926
710,5.7269
711,6.3277
712,2.7029
713,6.4022
714,3.5332
715,11.7118
716,2.68
717,5.1551
718,4.2678
719,7.7526
720,7.2662
721,5.1221
722,8.4334
723,8.6272
724,5.4941
725,3.5373
726,9.3686
727,6.7557
728,4.864
729,12.9961
730,3.0502
731,4.3149
732,2.5316
733,3.603
734,4.9448
735,2.6059
736,5.2624
737,5.3476
738,5.5135
739,5.5759
740,3.702
741,6.3735
742,4.8877
743,6.1367
744,10.0363
745,12.4946
746,9.5906
747,6.9378
748,2.0268
749,5.4886
750,3.8135
751,4.7055
752,6.3006
753,5.5268
754,4.8667
755,7.0487
756,3.3586
757,9.4061
758,5.1086
759,5.9003
760,3.4248
761,9.8698
762,8.4463
763,5.3431
